, 0, 33, 21
68, 27, 51, 21
68, 26, 52, 21
68, 26, 52, 21
68, 26, 52, 21
68, 25, 53, 21
68, 25, 53, 21
68, 25, 53, 21
68, 25, 53, 21
68, 24, 55, 21
68, 24, 55, 21
40, 24, 20, 21
40, 24, 20, 21
40, 24, 20, 21
40, 24, 20, 21
40, 23, 21, 21
40, 23, 21, 21
40, 23, 21, 21
40, 23, 21, 21
40, 23, 21, 21
40, 23, 21, 21
40, 23, 21, 21
40, 23, 21, 21
40, 23, 21, 21
40, 23, 21, 21
40, 22, 22, 21
40, 22, 22, 21
40, 22, 22, 21
40, 21, 23, 21
40, 21, 23, 21
40, 21, 23, 21
40, 20, 25, 21
40, 19, 26, 21
40, 19, 26, 21
40, 18, 27, 21
40, 17, 28, 21
40, 16, 30, 21
40, 16, 30, 21
40, 15, 31, 21
40, 14, 32, 21
40, 13, 33, 21
40, 12, 35, 21
40, 11, 36, 21
40, 10, 37, 21
40, 9, 38, 21
40, 8, 40, 21
40, 7, 41, 21
40, 6, 42, 21
40, 6, 42, 21
40, 5, 43, 21
40, 4, 45, 21
40, 4, 45, 21
40, 3, 46, 21
40, 3, 46, 21
40, 2, 47, 21
40, 2, 47, 21
40, 1, 48, 21
40, 1, 48, 21
40, 1, 48, 21
40, 1, 48, 21
40, 1, 48, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
40, 0, 50, 21
82, 0, 102, 21
82, 0, 102, 21
82, 0, 102, 21
82, 0, 102, 21
82, 0, 102, 21
82, 1, 101, 21
82, 1, 101, 21
82, 1, 101, 21
82, 2, 100, 21
82, 2, 100, 21
82, 3, 98, 21
82, 4, 97, 21
82, 5, 96, 21
82, 6, 95, 21
82, 7, 93, 21
82, 9, 91, 21
82, 10, 90, 21
82, 12, 87, 21
82, 14, 85, 21
82, 16, 82, 21
82, 18, 80, 21
82, 20, 77, 21
82, 22, 75, 21
82, 24, 72, 21
82, 27, 68, 21
82, 29, 66, 21
82, 31, 63, 21
82, 33, 61, 21
82, 36, 57, 21
82, 38, 55, 21
82, 39, 53, 21
82, 41, 51, 21
82, 43, 48, 21
82, 44, 47, 21
82, 46, 45, 21
82, 47, 43, 21
82, 48, 42, 21
82, 49, 41, 21
82, 49, 41, 21
82, 50, 40, 21
82, 50, 40, 21
82, 50, 40, 21
82, 50, 40, 21
82, 50, 40, 21
82, 50, 40, 21
82, 49, 41, 21
82, 49, 41, 21
82, 48, 42, 21
82, 47, 43, 21
82, 47, 43, 21
82, 46, 45, 21
82, 45, 46, 21
82, 44, 47, 21
82, 43, 48, 21
82, 42, 50, 21
82, 41, 51, 21
82, 40, 52, 21
82, 39, 53, 21
82, 38, 55, 21
82, 37, 56, 21
82, 36, 57, 21
82, 35, 58, 21
82, 35, 58, 21
82, 34, 60, 21
82, 33, 61, 21
82, 32, 62, 21
82, 31, 63, 21
82, 31, 63, 21
82, 30, 65, 21
82, 30, 65, 21
82, 29, 66, 21
82, 29, 66, 21
82, 29, 66, 21
82, 28, 67, 21
64, 28, 45, 21
64, 28, 45, 21
64, 28, 45, 21
64, 28, 45, 21
64, 28, 45, 21
64, 28, 45, 21
64, 29, 43, 21
64, 29, 43, 21
64, 29, 43, 21
64, 29, 43, 21
64, 29, 43, 21
64, 30, 42, 21
64, 30, 42, 21
64, 30, 42, 21
64, 30, 42, 21
64, 30, 42, 21
64, 30, 42, 21
64, 30, 42, 21
64, 31, 41, 21
64, 31, 41, 21
64, 30, 42, 21
64, 30, 42, 21
64, 30, 42, 21
64, 30, 42, 21
64, 30, 42, 21
64, 30, 42, 21
64, 29, 43, 21
64, 29, 43, 21
64, 28, 45, 21
64, 28, 45, 21
64, 27, 46, 21
64, 27, 46, 21
64, 26, 47, 21
64, 26, 47, 21
64, 25, 48, 21
64, 25, 48, 21
64, 25, 48, 21
64, 24, 50, 21
64, 24, 50, 21
64, 24, 50, 21
64, 23, 51, 21
64, 23, 51, 21
64, 23, 51, 21
64, 22, 52, 21
64, 22, 52, 21
64, 22, 52, 21
64, 22, 52, 21
64, 22, 52, 21
64, 21, 53, 21
64, 21, 53, 21
64, 21, 53, 21
64, 21, 53, 21
64, 21, 53, 21
64, 21, 53, 21
64, 22, 52, 21
64, 22, 52, 21
64, 22, 52, 21
64, 22, 52, 21
64, 22, 52, 21
64, 22, 52, 21
64, 22, 52, 21
64, 23, 51, 21
64, 23, 51, 21
64, 23, 51, 21
64, 23, 51, 21
64, 23, 51, 21
64, 23, 51, 21
64, 24, 50, 21
64, 24, 50, 21
64, 24, 50, 21
64, 24, 50, 21
64, 25, 48, 21
64, 25, 48, 21
64, 25, 48, 21
28, 25, 3, 21
28, 25, 3, 21
28, 25, 3, 21
28, 25, 3, 21
28, 25, 3, 21
28, 26, 2, 21
28, 26, 2, 21
28, 25, 3, 21
28, 25, 3, 21
28, 25, 3, 21
28, 25, 3, 21
28, 25, 3, 21
28, 25, 3, 21
28, 24, 5, 21
28, 24, 5, 21
28, 23, 6, 21
28, 23, 6, 21
28, 22, 7, 21
28, 21, 8, 21
28, 21, 8, 21
28, 20, 10, 21
28, 19, 11, 21
28, 18, 12, 21
28, 17, 13, 21
28, 16, 15, 21
28, 15, 16, 21
28, 14, 17, 21
28, 13, 18, 21
28, 12, 20, 21
28, 11, 21, 21
28, 9, 23, 21
28, 8, 25, 21
28, 7, 26, 21
28, 6, 27, 21
28, 6, 27, 21
28, 5, 28, 21
28, 4, 30, 21
28, 3, 31, 21
28, 3, 31, 21
28, 2, 32, 21
28, 2, 32, 21
28, 2, 32, 21
28, 1, 33, 21
28, 1, 33, 21
28, 1, 33, 21
28, 1, 33, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
28, 0, 35, 21
63, 0, 78, 21
63, 0, 78, 21
63, 0, 78, 21
63, 0, 78, 21
63, 0, 78, 21
63, 0, 78, 21
63, 0, 78, 21
63, 1, 77, 21
63, 1, 77, 21
63, 1, 77, 21
63, 2, 76, 21
63, 2, 76, 21
63, 3, 75, 21
63, 4, 73, 21
63, 4, 73, 21
63, 5, 72, 21
63, 6, 71, 21
63, 7, 70, 21
63, 8, 68, 21
63, 10, 66, 21
63, 11, 65, 21
63, 13, 62, 21
63, 14, 61, 21
63, 16, 58, 21
63, 18, 56, 21
63, 20, 53, 21
63, 21, 52, 21
63, 23, 50, 21
63, 25, 47, 21
63, 26, 46, 21
63, 28, 43, 21
63, 29, 42, 21
63, 30, 41, 21
63, 31, 40, 21
63, 33, 37, 21
63, 34, 36, 21
63, 34, 36, 21
63, 35, 35, 21
63, 36, 33, 21
63, 36, 33, 21
63, 37, 32, 21
63, 37, 32, 21
63, 37, 32, 21
63, 37, 32, 21
63, 36, 33, 21
63, 36, 33, 21
63, 35, 35, 21
63, 35, 35, 21
63, 34, 36, 21
63, 34, 36, 21
63, 33, 37, 21
63, 32, 38, 21
63, 31, 40, 21
63, 30, 41, 21
63, 29, 42, 21
63, 29, 42, 21
63, 28, 43, 21
63, 27, 45, 21
63, 26, 46, 21
63, 25, 47, 21
63, 24, 48, 21
63, 23, 50, 21
63, 23, 50, 21
63, 22, 51, 21
63, 21, 52, 21
63, 21, 52, 21
63, 20, 53, 21
63, 19, 55, 21
63, 19, 55, 21
63, 19, 55, 21
63, 18, 56, 21
63, 18, 56, 21
63, 18, 56, 21
63, 18, 56, 21
49, 18, 38, 21
49, 18, 38, 21
49, 18, 38, 21
49, 18, 38, 21
49, 18, 38, 21
49, 18, 38, 21
49, 18, 38, 21
49, 19, 37, 21
49, 19, 37, 21
49, 19, 37, 21
49, 20, 36, 21
49, 20, 36, 21
49, 20, 36, 21
49, 21, 35, 21
49, 21, 35, 21
49, 21, 35, 21
49, 21, 35, 21
49, 21, 35, 21
49, 21, 35, 21
49, 21, 35, 21
49, 21, 35, 21
49, 21, 35, 21
49, 21, 35, 21
49, 21, 35, 21
49, 21, 35, 21
49, 20, 36, 21
49, 20, 36, 21
49, 20, 36, 21
49, 19, 37, 21
49, 19, 37, 21
49, 19, 37, 21
49, 18, 38, 21
49, 18, 38, 21
49, 17, 40, 21
49, 17, 40, 21
49, 16, 41, 21
49, 16, 41, 21
49, 15, 42, 21
49, 15, 42, 21
49, 14, 43, 21
49, 14, 43, 21
49, 14, 43, 21
49, 13, 45, 21
49, 13, 45, 21
49, 13, 45, 21
49, 13, 45, 21
49, 13, 45, 21
49, 12, 46, 21
49, 12, 46, 21
49, 12, 46, 21
49, 12, 46, 21
49, 12, 46, 21
49, 12, 46, 21
49, 12, 46, 21
49, 12, 46, 21
49, 12, 46, 21
49, 12, 46, 21
49, 13, 45, 21
49, 13, 45, 21
49, 13, 45, 21
49, 13, 45, 21
49, 14, 43, 21
49, 14, 43, 21
49, 14, 43, 21
49, 14, 43, 21
49, 15, 42, 21
49, 15, 42, 21
49, 15, 42, 21
49, 15, 42, 21
49, 16, 41, 21
49, 16, 41, 21
49, 16, 41, 21
49, 16, 41, 21
49, 17, 40, 21
40, 17, 28, 21
40, 17, 28, 21
40, 17, 28, 21
40, 17, 28, 21
40, 18, 27, 21
40, 18, 27, 21
40, 17, 28, 21
40, 18, 27, 21
40, 18, 27, 21
40, 18, 27, 21
40, 18, 27, 21
40, 17, 28, 21
40, 17, 28, 21
40, 17, 28, 21
40, 17, 28, 21
40, 16, 30, 21
40, 16, 30, 21
40, 16, 30, 21
40, 15, 31, 21
40, 15, 31, 21
40, 15, 31, 21
40, 14, 32, 21
40, 14, 32, 21
40, 13, 33, 21
40, 13, 33, 21
40, 12, 35, 21
40, 12, 35, 21
40, 11, 36, 21
40, 10, 37, 21
40, 10, 37, 21
40, 9, 38, 21
40, 9, 38, 21
40, 8, 40, 21
40, 8, 40, 21
40, 8, 40, 21
40, 8, 40, 21
40, 7, 41, 21
40, 7, 41, 21
40, 7, 41, 21
40, 7, 41, 21
40, 6, 42, 21
40, 6, 42, 21
40, 6, 42, 21
40, 6, 42, 21
40, 6, 42, 21
40, 6, 42, 21
40, 6, 42, 21
40, 7, 41, 21
40, 7, 41, 21
40, 7, 41, 21
40, 8, 40, 21
40, 8, 40, 21
40, 8, 40, 21
40, 8, 40, 21
40, 9, 38, 21
40, 9, 38, 21
40, 9, 38, 21
40, 10, 37, 21
40, 10, 37, 21
40, 10, 37, 21
40, 11, 36, 21
40, 11, 36, 21
40, 11, 36, 21
40, 11, 36, 21
40, 12, 35, 21
40, 12, 35, 21
40, 12, 35, 21
40, 12, 35, 21
40, 12, 35, 21
40, 12, 35, 21
40, 13, 33, 21
40, 13, 33, 21
40, 13, 33, 21
40, 13, 33, 21
85, 13, 90, 21
85, 13, 90, 21
85, 13, 90, 21
85, 13, 90, 21
85, 12, 91, 21
85, 12, 91, 21
85, 13, 90, 21
85, 13, 90, 21
85, 13, 90, 21
85, 13, 90, 21
85, 14, 88, 21
85, 14, 88, 21
85, 15, 87, 21
85, 16, 86, 21
85, 16, 86, 21
85, 17, 85, 21
85, 18, 83, 21
85, 19, 82, 21
85, 20, 81, 21
85, 22, 78, 21
85, 23, 77, 21
85, 24, 76, 21
85, 26, 73, 21
85, 28, 71, 21
85, 29, 70, 21
85, 31, 67, 21
85, 33, 65, 21
85, 34, 63, 21
85, 36, 61, 21
85, 37, 60, 21
85, 39, 57, 21
85, 40, 56, 21
85, 41, 55, 21
85, 42, 53, 21
85, 43, 52, 21
85, 44, 51, 21
85, 45, 50, 21
85, 46, 48, 21
85, 46, 48, 21
85, 47, 47, 21
85, 47, 47, 21
85, 47, 47, 21
85, 47, 47, 21
85, 47, 47, 21
85, 47, 47, 21
85, 47, 47, 21
85, 46, 48, 21
85, 46, 48, 21
85, 46, 48, 21
85, 45, 50, 21
85, 45, 50, 21
85, 44, 51, 21
85, 44, 51, 21
85, 43, 52, 21
85, 42, 53, 21
85, 42, 53, 21
85, 41, 55, 21
85, 40, 56, 21
85, 40, 56, 21
85, 39, 57, 21
85, 38, 58, 21
85, 38, 58, 21
85, 37, 60, 21
85, 36, 61, 21
85, 36, 61, 21
85, 35, 62, 21
85, 35, 62, 21
85, 35, 62, 21
85, 34, 63, 21
85, 34, 63, 21
85, 33, 65, 21
85, 33, 65, 21
85, 33, 65, 21
85, 33, 65, 21
62, 33, 36, 21
62, 32, 37, 21
62, 32, 37, 21
62, 32, 37, 21
62, 32, 37, 21
62, 32, 37, 21
62, 32, 37, 21
62, 32, 37, 21
62, 32, 37, 21
62, 33, 36, 21
62, 33, 36, 21
62, 33, 36, 21
62, 33, 36, 21
62, 33, 36, 21
62, 33, 36, 21
62, 32, 37, 21
62, 32, 37, 21
62, 32, 37, 21
62, 32, 37, 21
62, 32, 37, 21
62, 31, 38, 21
62, 31, 38, 21
62, 30, 40, 21
62, 30, 40, 21
62, 29, 41, 21
62, 29, 41, 21
62, 28, 42, 21
62, 28, 42, 21
62, 27, 43, 21
62, 26, 45, 21
62, 26, 45, 21
62, 25, 46, 21
62, 24, 47, 21
62, 24, 47, 21
62, 23, 48, 21
62, 22, 50, 21
62, 22, 50, 21
62, 21, 51, 21
62, 21, 51, 21
62, 20, 52, 21
62, 20, 52, 21
62, 20, 52, 21
62, 19, 53, 21
62, 19, 53, 21
62, 19, 53, 21
62, 18, 55, 21
62, 18, 55, 21
62, 18, 55, 21
62, 18, 55, 21
62, 18, 55, 21
62, 19, 53, 21
62, 19, 53, 21
62, 19, 53, 21
62, 19, 53, 21
62, 19, 53, 21
62, 20, 52, 21
62, 20, 52, 21
62, 20, 52, 21
62, 21, 51, 21
62, 21, 51, 21
62, 21, 51, 21
62, 22, 50, 21
62, 22, 50, 21
62, 22, 50, 21
62, 23, 48, 21
62, 23, 48, 21
62, 24, 47, 21
62, 24, 47, 21
62, 24, 47, 21
62, 25, 46, 21
62, 25, 46, 21
62, 25, 46, 21
62, 26, 45, 21
62, 26, 45, 21
82, 26, 70, 21
82, 26, 70, 21
82, 26, 70, 21
82, 26, 70, 21
82, 26, 70, 21
82, 26, 70, 21
82, 27, 68, 21
82, 27, 68, 21
82, 27, 68, 21
82, 27, 68, 21
82, 27, 68, 21
82, 27, 68, 21
82, 27, 68, 21
82, 27, 68, 21
82, 28, 67, 21
82, 28, 67, 21
82, 28, 67, 21
82, 28, 67, 21
82, 29, 66, 21
82, 29, 66, 21
82, 29, 66, 21
82, 30, 65, 21
82, 30, 65, 21
82, 31, 63, 21
82, 31, 63, 21
82, 32, 62, 21
82, 32, 62, 21
82, 33, 61, 21
82, 33, 61, 21
82, 34, 60, 21
82, 34, 60, 21
82, 35, 58, 21
82, 35, 58, 21
82, 36, 57, 21
82, 36, 57, 21
82, 36, 57, 21
82, 37, 56, 21
82, 37, 56, 21
82, 37, 56, 21
82, 38, 55, 21
82, 38, 55, 21
82, 38, 55, 21
82, 38, 55, 21
82, 38, 55, 21
82, 38, 55, 21
82, 38, 55, 21
82, 38, 55, 21
82, 38, 55, 21
82, 38, 55, 21
82, 38, 55, 21
82, 38, 55, 21
82, 38, 55, 21
82, 38, 55, 21
82, 37, 56, 21
82, 37, 56, 21
82, 37, 56, 21
82, 37, 56, 21
82, 37, 56, 21
82, 37, 56, 21
82, 36, 57, 21
82, 36, 57, 21
82, 36, 57, 21
82, 36, 57, 21
82, 35, 58, 21
82, 35, 58, 21
82, 35, 58, 21
82, 35, 58, 21
82, 34, 60, 21
82, 34, 60, 21
82, 34, 60, 21
82, 34, 60, 21
82, 34, 60, 21
82, 34, 60, 21
82, 34, 60, 21
27, 34, 0, 21
27, 34, 0, 21
27, 33, 0, 21
27, 33, 0, 21
27, 33, 0, 21
27, 33, 0, 21
27, 33, 0, 21
27, 33, 0, 21
27, 33, 0, 21
27, 32, 0, 21
27, 32, 0, 21
27, 32, 0, 21
27, 32, 0, 21
27, 31, 0, 21
27, 31, 0, 21
27, 30, 0, 21
27, 29, 0, 21
27, 29, 0, 21
27, 28, 0, 21
27, 27, 0, 21
27, 26, 1, 21
27, 25, 2, 21
27, 24, 3, 21
27, 23, 5, 21
27, 21, 7, 21
27, 20, 8, 21
27, 19, 10, 21
27, 17, 12, 21
27, 16, 13, 21
27, 15, 15, 21
27, 13, 17, 21
27, 12, 18, 21
27, 11, 20, 21
27, 10, 21, 21
27, 8, 23, 21
27, 7, 25, 21
27, 6, 26, 21
27, 5, 27, 21
27, 5, 27, 21
27, 4, 28, 21
27, 3, 30, 21
27, 3, 30, 21
27, 2, 31, 21
27, 2, 31, 21
27, 1, 32, 21
27, 1, 32, 21
27, 1, 32, 21
27, 1, 32, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
27, 0, 33, 21
53, 0, 66, 21
53, 0, 66, 21
53, 0, 66, 21
53, 0, 66, 21
53, 0, 66, 21
53, 0, 66, 21
53, 0, 66, 21
53, 1, 65, 21
53, 1, 65, 21
53, 1, 65, 21
53, 1, 65, 21
53, 2, 63, 21
53, 2, 63, 21
53, 3, 62, 21
53, 3, 62, 21
53, 4, 61, 21
53, 5, 60, 21
53, 6, 58, 21
53, 7, 57, 21
53, 8, 56, 21
53, 9, 55, 21
53, 10, 53, 21
53, 11, 52, 21
53, 12, 51, 21
53, 13, 50, 21
53, 14, 48, 21
53, 16, 46, 21
53, 17, 45, 21
53, 18, 43, 21
53, 19, 42, 21
53, 21, 40, 21
53, 22, 38, 21
53, 23, 37, 21
53, 24, 36, 21
53, 24, 36, 21
53, 25, 35, 21
53, 26, 33, 21
53, 26, 33, 21
53, 27, 32, 21
53, 27, 32, 21
53, 28, 31, 21
53, 28, 31, 21
53, 28, 31, 21
53, 28, 31, 21
53, 28, 31, 21
53, 27, 32, 21
53, 27, 32, 21
53, 27, 32, 21
53, 26, 33, 21
53, 26, 33, 21
53, 25, 35, 21
53, 25, 35, 21
53, 24, 36, 21
53, 23, 37, 21
53, 23, 37, 21
53, 22, 38, 21
53, 21, 40, 21
53, 21, 40, 21
53, 20, 41, 21
53, 19, 42, 21
53, 18, 43, 21
53, 18, 43, 21
53, 17, 45, 21
53, 16, 46, 21
53, 16, 46, 21
53, 15, 47, 21
53, 15, 47, 21
53, 15, 47, 21
53, 14, 48, 21
53, 14, 48, 21
53, 13, 50, 21
53, 13, 50, 21
53, 13, 50, 21
53, 13, 50, 21
57, 13, 55, 21
57, 13, 55, 21
57, 13, 55, 21
57, 13, 55, 21
57, 13, 55, 21
57, 13, 55, 21
57, 14, 53, 21
57, 14, 53, 21
57, 14, 53, 21
57, 14, 53, 21
57, 15, 52, 21
57, 15, 52, 21
57, 16, 51, 21
57, 16, 51, 21
57, 17, 50, 21
57, 17, 50, 21
57, 18, 48, 21
57, 18, 48, 21
57, 19, 47, 21
57, 19, 47, 21
57, 20, 46, 21
57, 20, 46, 21
57, 21, 45, 21
57, 21, 45, 21
57, 22, 43, 21
57, 22, 43, 21
57, 23, 42, 21
57, 23, 42, 21
57, 23, 42, 21
57, 24, 41, 21
57, 24, 41, 21
57, 24, 41, 21
57, 24, 41, 21
57, 24, 41, 21
57, 24, 41, 21
57, 24, 41, 21
57, 24, 41, 21
57, 24, 41, 21
57, 24, 41, 21
57, 24, 41, 21
57, 24, 41, 21
57, 24, 41, 21
57, 23, 42, 21
57, 23, 42, 21
57, 23, 42, 21
57, 23, 42, 21
57, 22, 43, 21
57, 22, 43, 21
57, 22, 43, 21
57, 21, 45, 21
57, 21, 45, 21
57, 21, 45, 21
57, 20, 46, 21
57, 20, 46, 21
57, 20, 46, 21
57, 20, 46, 21
57, 19, 47, 21
57, 19, 47, 21
57, 19, 47, 21
57, 19, 47, 21
57, 19, 47, 21
57, 18, 48, 21
57, 18, 48, 21
57, 18, 48, 21
57, 18, 48, 21
57, 18, 48, 21
57, 18, 48, 21
57, 18, 48, 21
57, 18, 48, 21
57, 18, 48, 21
57, 18, 48, 21
57, 19, 47, 21
57, 19, 47, 21
57, 19, 47, 21
59, 19, 50, 21
59, 19, 50, 21
59, 19, 50, 21
59, 19, 50, 21
59, 19, 50, 21
59, 20, 48, 21
59, 20, 48, 21
59, 20, 48, 21
