, 11
189, 49, 11
189, 134, 11
189, 31, 11
189, 113, 11
189, 101, 11
189, 45, 11
189, 148, 11
189, 28, 11
189, 140, 11
189, 71, 11
189, 62, 11
189, 148, 11
189, 14, 11
189, 142, 11
189, 78, 11
189, 54, 11
189, 156, 11
189, 0, 11
189, 148, 11
189, 78, 11
189, 62, 11
189, 143, 11
189, -7, 11
189, 142, 11
189, 85, 11
189, 65, 11
189, 148, 11
189, 0, 11
189, 134, 11
189, 78, 11
189, 78, 11
189, 148, 11
189, 0, 11
189, 134, 11
189, 78, 11
189, 85, 11
189, 148, 11
189, 0, 11
189, 164, 11
189, 49, 11
189, 93, 11
189, 134, 11
189, 14, 11
189, 156, 11
189, 49, 11
189, 78, 11
189, 127, 11
189, 31, 11
189, 134, 11
189, 56, 11
189, 85, 11
189, 127, 11
189, 31, 11
189, 123, 11
189, 62, 11
189, 78, 11
189, 140, 11
189, 26, 11
189, 148, 11
189, 54, 11
189, 92, 11
189, 120, 11
189, 21, 11
189, 148, 11
189, 56, 11
189, 99, 11
189, 106, 11
189, 31, 11
189, 148, 11
189, 45, 11
189, 117, 11
189, 106, 11
189, 31, 11
189, 123, 11
189, 54, 11
189, 106, 11
189, 117, 11
189, 26, 11
189, 148, 11
189, 42, 11
189, 125, 11
189, 97, 11
189, 31, 11
189, 156, 11
189, 35, 11
189, 106, 11
189, 113, 11
189, 31, 11
189, 149, 11
189, 28, 11
189, 106, 11
189, 125, 11
189, 28, 11
189, 149, 11
189, 28, 11
189, 117, 11
189, 113, 11
189, 28, 11
189, 156, 11
189, 35, 11
189, 125, 11
189, 97, 11
189, 31, 11
189, 149, 11
189, 31, 11
189, 97, 11
189, 117, 11
189, 35, 11
189, 164, 11
189, 21, 11
189, 113, 11
189, 109, 11
189, 49, 11
189, 134, 11
189, 28, 11
189, 125, 11
189, 101, 11
189, 52, 11
189, 148, 11
189, 28, 11
189, 125, 11
189, 84, 11
189, 54, 11
189, 134, 11
189, 31, 11
189, 120, 11
189, 85, 11
189, 62, 11
189, 134, 11
189, 28, 11
189, 127, 11
189, 85, 11
189, 56, 11
189, 134, 11
189, 23, 11
189, 134, 11
189, 85, 11
189, 52, 11
189, 148, 11
189, 21, 11
189, 148, 11
189, 71, 11
189, 62, 11
189, 164, 11
189, 0, 11
189, 134, 11
189, 85, 11
189, 54, 11
189, 156, 11
189, -7, 11
189, 156, 11
189, 78, 11
189, 78, 11
189, 130, 11
189, -7, 11
189, 134, 11
189, 93, 11
189, 65, 11
189, 148, 11
189, 0, 11
189, 148, 11
189, 78, 11
189, 78, 11
189, 148, 11
189, 0, 11
189, 134, 11
189, 71, 11
189, 93, 11
189, 148, 11
189, 0, 11
189, 156, 11
189, 63, 11
189, 85, 11
189, 130, 11
189, 0, 11
189, 164, 11
189, 49, 11
189, 85, 11
189, 134, 11
189, 15, 11
189, 142, 11
189, 49, 11
189, 85, 11
189, 127, 11
189, 31, 11
189, 123, 11
